Company,Invoice No.,Invoice Date,Due Date,Currency,Amount
Sage,11627,2024-10-23,2024-12-22,CAD,13066
Sage,11658,2024-10-22,2024-11-22,GBP,47198
Ramp,11619,2024-10-27,2024-11-27,GBP,62681
Brex,11602,2024-10-20,2024-10-20,CAD,76080
Intuit,11677,2024-10-09,2024-11-09,CAD,98940
Netsuite,11671,2024-10-24,2024-11-24,USD,71922
American Express,11604,2024-10-11,2025-01-09,CAD,79698
Intuit,11611,2024-10-09,2024-10-09,GBP,66804
Chase,11679,2024-10-05,2024-11-05,EUR,89866
Paypal,11653,2024-10-13,2024-11-13,EUR,34968
American Express,11634,2024-10-02,2024-12-01,EUR,41424
American Express,11664,2024-10-16,2024-10-16,CAD,54449
Stripe,11654,2024-10-08,2024-12-07,GBP,79840
Sage,11604,2024-10-26,2024-12-25,CAD,46209
Google,11671,2024-10-02,2024-12-31,USD,56250
Apple,11611,2024-10-17,2024-10-17,GBP,39546
Brex,11640,2024-10-21,2024-11-21,EUR,67769
Stripe,11607,2024-10-23,2024-10-23,EUR,45879
Salesforce,11650,2024-10-18,2024-12-17,EUR,67941
Airbase,11639,2024-10-01,2024-12-30,CAD,92718
Airbase,11670,2024-10-20,2024-10-20,USD,85621
Stripe,11622,2024-10-27,2024-11-27,CAD,63117
Netsuite,11681,2024-10-19,2024-12-18,EUR,26642
American Express,11696,2024-10-24,2024-11-24,EUR,82189
Chase,11687,2024-10-06,2024-12-05,USD,75970
Apple,11637,2024-10-21,2024-10-21,CAD,20302
Chase,11688,2024-10-17,2024-11-17,EUR,13183
