Company,Invoice No.,Invoice Date,Due Date,Currency,Amount
Ramp,11745,2024-12-02,2025-02-28,EUR,73784
Google,11709,2024-12-20,2024-12-28,CAD,69473
Chase,11733,2024-12-16,2025-02-15,GBP,34701
Xero,11794,2024-12-17,2024-12-17,CAD,25120
Xero,11737,2024-12-20,2024-12-21,USD,68897
Intuit,11751,2024-12-10,2024-12-10,GBP,20565
Intuit,11782,2024-12-10,2025-03-08,USD,49750
Intuit,11778,2024-12-21,2025-03-24,CAD,83802
Ramp,11751,2024-12-20,2025-02-22,GBP,87175
Paypal,11758,2024-12-21,2025-03-20,USD,67388
Microsoft,11703,2024-12-20,2025-03-18,GBP,22368
Apple,11778,2024-12-02,2024-12-02,EUR,51653
Sage,11724,2024-12-04,2025-01-03,EUR,59285
Chase,11763,2024-12-07,2025-01-06,USD,19832
Apple,11773,2024-12-16,2025-01-15,GBP,18435
Ramp,11703,2024-12-05,2025-02-04,EUR,33796
Paypal,11750,2024-12-01,2024-12-01,GBP,29782
Airbase,11751,2024-12-15,2025-03-13,USD,14629
Xero,11777,2024-12-20,2024-12-21,USD,57643
Sage,11738,2024-12-10,2025-02-09,CAD,49112
Netsuite,11763,2024-12-20,2025-02-28,GBP,85058
Xero,11778,2024-12-08,2025-01-07,EUR,52513
Brex,11755,2024-12-21,2024-12-20,GBP,68491
Paypal,11772,2024-12-14,2024-12-14,USD,40991
Salesforce,11764,2024-12-20,2025-01-23,USD,58980
Intuit,11751,2024-12-03,2025-01-02,CAD,97228
Google,11727,2024-12-15,2025-01-14,USD,18553
