Company,Invoice No.,Invoice Date,Due Date,Currency,Amount
Stripe,11563,2024-09-02,2024-10-01,EUR,30000
Brex,11583,2024-09-19,2024-10-18,CAD,49877
Brex,11584,2024-09-25,2024-11-24,EUR,22786
Microsoft,11580,2024-09-17,2024-10-16,GBP,64161
Microsoft,11501,2024-09-02,2024-09-02,EUR,35381
Intuit,11571,2024-09-08,2024-12-06,GBP,24854
Brex,11546,2024-09-27,2024-12-25,EUR,62737
Salesforce,11585,2024-09-06,2024-09-06,GBP,20923
Brex,11550,2024-09-07,2024-10-06,EUR,50714
Apple,11548,2024-09-28,2024-11-27,GBP,15342
American Express,11597,2024-09-05,2024-12-03,CAD,67340
Chase,11529,2024-09-11,2024-11-10,GBP,91689
Stripe,11525,2024-09-06,2024-10-05,GBP,34223
Sage,11582,2024-09-12,2024-12-10,USD,58293
Microsoft,11561,2024-09-09,2024-09-09,EUR,96361
Paypal,11538,2024-09-30,2024-12-29,GBP,63549
Ramp,11519,2024-09-11,2024-11-10,GBP,14628
Intuit,11588,2024-09-26,2024-11-25,USD,79673
Microsoft,11574,2024-09-09,2024-11-08,CAD,29354
Facebook,11554,2024-09-10,2024-09-10,CAD,76676
Stripe,11576,2024-09-05,2024-12-03,GBP,10593
Apple,11574,2024-09-27,2024-12-25,CAD,56298
Facebook,11555,2024-09-14,2024-10-13,USD,57186
Apple,11575,2024-09-02,2024-09-02,USD,43404
Facebook,11566,2024-09-02,2024-09-02,GBP,41806
Xero,11587,2024-09-27,2024-11-26,EUR,45375
Google,11599,2024-09-30,2024-10-29,GBP,37833
